"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"WHIRLPOOL","EQ","08-Feb-2019","       1433.20","       1425.25","       1443.95","       1421.50","       1430.00","       1430.30","       1437.98","      30769","            44245194.30","       3032","      24055","         78.18"
"WHIRLPOOL","EQ","11-Feb-2019","       1430.30","       1419.70","       1480.65","       1399.60","       1415.00","       1408.90","       1438.99","     107714","           154999357.60","       6722","      72862","         67.64"
"WHIRLPOOL","EQ","12-Feb-2019","       1408.90","       1415.00","       1429.95","       1390.00","       1394.15","       1392.60","       1400.45","      31219","            43720708.75","       3523","      23810","         76.27"
"WHIRLPOOL","EQ","13-Feb-2019","       1392.60","       1411.00","       1411.00","       1380.00","       1381.20","       1389.90","       1395.31","      43836","            61164610.55","       2529","      36272","         82.74"
"WHIRLPOOL","EQ","14-Feb-2019","       1389.90","       1395.00","       1410.00","       1353.00","       1359.00","       1359.05","       1385.64","      49342","            68370409.95","       7302","      31675","         64.19"
"WHIRLPOOL","EQ","15-Feb-2019","       1359.05","       1366.00","       1366.00","       1310.00","       1315.00","       1314.45","       1320.47","      61496","            81203638.55","      10164","      40750","         66.26"
"WHIRLPOOL","EQ","18-Feb-2019","       1314.45","       1338.00","       1338.00","       1289.00","       1292.00","       1290.85","       1299.97","      63651","            82744136.55","      10731","      48437","         76.10"
"WHIRLPOOL","EQ","19-Feb-2019","       1290.85","       1300.00","       1335.00","       1290.85","       1321.00","       1312.60","       1312.48","      47952","            62935939.50","       6087","      26813","         55.92"
"WHIRLPOOL","EQ","20-Feb-2019","       1312.60","       1316.45","       1359.00","       1316.45","       1350.10","       1351.55","       1335.28","      59802","            79852218.15","      10543","      35905","         60.04"
"WHIRLPOOL","EQ","21-Feb-2019","       1351.55","       1352.00","       1413.60","       1352.00","       1368.05","       1373.55","       1378.77","      66754","            92038258.60","      11303","      41096","         61.56"
"WHIRLPOOL","EQ","22-Feb-2019","       1373.55","       1360.00","       1390.00","       1347.50","       1347.50","       1349.90","       1373.28","      57355","            78764738.05","       9490","      37522","         65.42"
"WHIRLPOOL","EQ","25-Feb-2019","       1349.90","       1359.90","       1361.95","       1335.00","       1340.45","       1342.85","       1348.17","      62961","            84882329.70","       9632","      46048","         73.14"
"WHIRLPOOL","EQ","26-Feb-2019","       1342.85","       1335.00","       1350.00","       1328.00","       1347.25","       1339.65","       1337.83","      47138","            63062445.20","       6047","      23404","         49.65"
"WHIRLPOOL","EQ","27-Feb-2019","       1339.65","       1333.25","       1370.00","       1324.10","       1333.00","       1334.30","       1343.60","      54024","            72586888.80","       5586","      23231","         43.00"
"WHIRLPOOL","EQ","28-Feb-2019","       1334.30","       1344.30","       1397.95","       1330.00","       1365.00","       1373.55","       1357.65","      86732","           117751348.45","       6878","      71359","         82.28"
"WHIRLPOOL","EQ","01-Mar-2019","       1373.55","       1368.00","       1449.00","       1367.00","       1435.00","       1436.55","       1401.58","      34808","            48786322.05","       2180","      20000","         57.46"
"WHIRLPOOL","EQ","05-Mar-2019","       1436.55","       1430.00","       1565.20","       1421.65","       1545.05","       1547.50","       1509.81","      87837","           132617127.85","       7671","      41699","         47.47"
"WHIRLPOOL","EQ","06-Mar-2019","       1547.50","       1560.00","       1597.90","       1553.00","       1563.00","       1561.40","       1568.03","      73431","           115141791.60","       4365","      45862","         62.46"
"WHIRLPOOL","EQ","07-Mar-2019","       1561.40","       1574.90","       1585.00","       1555.10","       1570.00","       1568.30","       1574.84","     101022","           159093278.45","       3494","      78690","         77.89"
"WHIRLPOOL","EQ","08-Mar-2019","       1568.30","       1565.00","       1575.00","       1541.95","       1550.00","       1549.55","       1557.02","      41636","            64828003.95","       2818","      21829","         52.43"
"WHIRLPOOL","EQ","11-Mar-2019","       1549.55","       1549.55","       1634.90","       1549.00","       1585.40","       1576.00","       1608.33","     147935","           237928828.10","       7119","      86211","         58.28"
"WHIRLPOOL","EQ","12-Mar-2019","       1576.00","       1590.00","       1633.30","       1561.00","       1586.00","       1580.80","       1598.92","     133153","           212901539.25","       9391","      54881","         41.22"
"WHIRLPOOL","EQ","13-Mar-2019","       1580.80","       1596.50","       1610.00","       1580.00","       1591.30","       1594.15","       1594.31","      41115","            65550068.40","       3680","      13683","         33.28"
"WHIRLPOOL","EQ","14-Mar-2019","       1594.15","       1602.00","       1612.90","       1577.85","       1600.00","       1601.00","       1594.31","      29046","            46308404.20","       5432","      14028","         48.30"
"WHIRLPOOL","EQ","15-Mar-2019","       1601.00","       1612.90","       1615.95","       1579.00","       1584.00","       1589.80","       1596.19","      47154","            75266821.55","       3357","      21579","         45.76"
"WHIRLPOOL","EQ","18-Mar-2019","       1589.80","       1601.25","       1604.00","       1572.00","       1578.00","       1577.80","       1581.29","      41011","            64850104.75","       2432","      16999","         41.45"
"WHIRLPOOL","EQ","19-Mar-2019","       1577.80","       1584.95","       1584.95","       1562.50","       1568.00","       1566.80","       1569.35","      53299","            83644819.35","       2676","      25300","         47.47"
"WHIRLPOOL","EQ","20-Mar-2019","       1566.80","       1575.35","       1575.35","       1551.90","       1560.00","       1557.70","       1564.39","      26058","            40764749.45","       2101","      11137","         42.74"
"WHIRLPOOL","EQ","22-Mar-2019","       1557.70","       1558.00","       1570.20","       1522.25","       1522.25","       1528.45","       1548.10","      32367","            50107365.75","       3920","      23332","         72.09"
"WHIRLPOOL","EQ","25-Mar-2019","       1528.45","       1505.50","       1519.95","       1497.10","       1503.00","       1505.25","       1508.78","      22481","            33918916.75","       2230","      11553","         51.39"
"WHIRLPOOL","EQ","26-Mar-2019","       1505.25","       1503.00","       1532.80","       1500.00","       1521.05","       1524.60","       1517.09","      25362","            38476493.10","       2918","      15541","         61.28"
"WHIRLPOOL","EQ","27-Mar-2019","       1524.60","       1526.00","       1543.95","       1502.00","       1516.00","       1518.45","       1521.20","     103760","           157840211.80","       4373","      84733","         81.66"
